classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.13479525236893472,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.16133668860302722,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.21658553342060607,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.024674231979354477,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.16080853849554796,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.13558368778084737,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.23295097424067235,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.1476668412993996,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.15302758377625678,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.1367778993019437,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,511,StandardScaler,0.08145857110128378,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,511,StandardScaler,0.2849311443988078,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,511,StandardScaler,0.1639877765424443,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,None,511,StandardScaler,0.1327622295661284,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,511,L1,0.18740070804277123,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,511,L1,0.0260460360279732,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,511,L1,0.15405927111660708,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,None,511,L1,0.13770963657853175,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,511,L2,0.22201282199731417,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,511,L2,0.14146086920768416,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,511,L2,0.15231578580656133,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,None,511,L2,0.1419111912647407,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,511,StandardScaler,0.08145857110128378,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,511,StandardScaler,0.2849311443988078,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,511,StandardScaler,0.1639877765424443,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,511,StandardScaler,0.1381123299848665,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,511,L1,0.18740070804277123,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,511,L1,0.0260460360279732,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,511,L1,0.15405927111660708,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,511,L1,0.13324534369771937,Split
kNN,Count,Char,Trigrams,0.8,0.2,1000,511,L2,0.22201282199731417,Split
Logit,Count,Char,Trigrams,0.8,0.2,1000,511,L2,0.14146086920768416,Split
SVM,Count,Char,Trigrams,0.8,0.2,1000,511,L2,0.15231578580656133,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,1000,511,L2,0.1393140137331664,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3408,StandardScaler,0.03558391817913826,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3408,StandardScaler,0.1544364609929653,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3408,StandardScaler,0.33914692179385714,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3408,StandardScaler,0.10368232974330871,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3408,L1,0.2455171648553812,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3408,L1,0.024674231979354477,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3408,L1,0.15722704881193383,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3408,L1,0.15984065787879875,Split
kNN,Count,Char,Trigrams,0.9,0.0,None,3408,L2,0.25619162750192853,Split
RandomForest,Count,Char,Trigrams,0.9,0.0,None,3408,L2,0.15281761924344098,Split
Logit,Count,Char,Trigrams,0.9,0.0,None,3408,L2,0.1485684342002457,Split
SVM,Count,Char,Trigrams,0.9,0.0,None,3408,L2,0.1508876079902375,Split
kNN,Count,Char,Trigrams,0.9,0.0,1000,1000,StandardScaler,0.05528547326780594,Split
