classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
kNN,Count,Char,Trigrams,0.8,0.1,None,1091,StandardScaler,0.09745403650172631,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1091,StandardScaler,0.16273815622961393,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1091,StandardScaler,0.3530056217561745,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1091,StandardScaler,0.17103348840703955,Split
kNN,Count,Char,Trigrams,0.8,0.1,None,1091,L1,0.05428827767202824,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1091,L1,0.06619335919854757,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1091,L1,0.16464892030997114,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1091,L1,0.17090073691299423,Split
kNN,Count,Char,Trigrams,0.8,0.1,None,1091,L2,0.11355810105382273,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1091,L2,0.17693106587729482,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1091,L2,0.16189257964168616,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1091,L2,0.17323662371127155,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.08260423370063348,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.16296238044671288,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.3589448383581562,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.1767443287858006,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.054235692751022274,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.06619335919854757,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.16863465610129647,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,L1,0.1861581832356897,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.1179521155034476,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.17640345553410933,Split
SVM,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.16238326448258913,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,1000,1000,L2,0.18201876498052563,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,572,StandardScaler,0.11907657492633496,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,572,StandardScaler,0.15549692917060534,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,572,StandardScaler,0.34670019844397637,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,None,572,StandardScaler,0.17067187658905417,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,572,L1,0.06293155445961109,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,572,L1,0.06619335919854757,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,572,L1,0.16648978646197948,Split
RandomForest,Count,Char,Trigrams,0.8,0.2,None,572,L1,0.1761363455112469,Split
kNN,Count,Char,Trigrams,0.8,0.2,None,572,L2,0.10852539080985744,Split
Logit,Count,Char,Trigrams,0.8,0.2,None,572,L2,0.18975232401663164,Split
SVM,Count,Char,Trigrams,0.8,0.2,None,572,L2,0.16035619896777623,Split
